Tag_Number,DBH_2019,DBH_2022,Species Co,LatinName,Species _1,Hazard_Rat,Sun,Hazard
70,7.6,9,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
72,48.1,48.8,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
75,6.3,6.3,COFL,Cornus florida,Florida Dogwood,Healthy,Partial,0
76,9.1,8,ACNE,Acer negundo,Boxelder,Some distress,Partial,0
77,6.9,7.6,CEOC,Celtis occidentalis,Northern Hackberry,Healthy,Shade,0
78,7.9,7,ULAM,Ulmus americana,American Elm,Some distress,Partial,0
79,6.4,7.8,ACPL,Acer platanoides,Norway Maple,Healthy,Shade,0
81,73.4,73.5,ROPS,Robinia pseudoacacia,Black Locust,Some distress,Partial,0
82,4.8,8,ACNE,Acer negundo,Boxelder,Healthy,Partial,0
83,4.5,7.5,ACNE,Acer negundo,Boxelder,Healthy,Partial,0
84,5.4,7.3,ACNE,Acer negundo,Boxelder,Healthy,Partial,0
85,47.6,48.3,ROPS,Robinia pseudoacacia,Black Locust,Some distress,Partial,0
86,8.8,9.3,ACPL,Acer platanoides,Norway Maple,Some distress,Shade,0
87,20,29.8,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
88,22.4,21.9,ACPL,Acer platanoides,Norway Maple,Healthy,Shade,0
91,70.4,70.4,QUAL,Quercus alba,White Oak,Some distress,Partial,0
92,6.8,6.7,ACNE,Acer negundo,Boxelder,Some distress,Partial,0
95,14.4,8,ACPL,Acer platanoides,Norway Maple,Healthy,Shade,0
96,7.1,15.4,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
97,40.7,48.3,ULAM,Ulmus americana,American Elm,Healthy,Partial,0
98,13.2,14.6,ULAM,Ulmus americana,American Elm,Healthy,Partial,0
99,9.7,10.5,ACPL,Acer platanoides,Norway Maple,Healthy,Shade,0
100,10.5,12.6,ACPL,Acer platanoides,Norway Maple,Healthy,Shade,0
101,38.9,41.6,ULAM,Ulmus americana,American Elm,Some distress,Partial,0
102,28.7,29.6,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
103,34.6,35,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
104,10.9,11.2,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
105,22.8,25,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
107,10.1,10.3,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
108,4.5,4.7,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
109,15.9,16.2,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
110,25.5,25.7,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
115,9,9.7,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
116,43.5,40.2,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
117,24.3,25.9,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
118,9.9,10.6,ACPL,Acer platanoides,Norway Maple,Healthy,Shade,0
119,0.9,9.3,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
120,31.6,21.5,PRSE2,Prunus serotina,Black Cherry,Extreme distress,Partial,0
122,19.9,20.7,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
123,25.3,27.6,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
124,10.4,11,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
125,49.2,50.7,ULPA,Ulmus pumila,Siberian Elm,Healthy,Partial,0
126,9.7,11.7,TIAM,Tilia americana,American Basswood,Healthy,Partial,0
127,45,47.4,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
128,50.7,50,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
129,23.4,23.8,ULAM,Ulmus americana,American Elm,Some distress,Partial,0
130,13.8,14.8,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
131,10.3,11,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
132,16.9,18,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
133,75.2,76.5,QUAL,Quercus alba,White Oak,Some distress,Partial,0
136,20.3,21.5,ULAM,Ulmus americana,American Elm,Healthy,Partial,0
137,66.5,67,QUAL,Quercus alba,White Oak,Healthy,Partial,0
138,6.2,7,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
139,5.8,5.9,JUNI,Juglans nigra,Black Walnut,Healthy,Partial,0
140,8.5,8.6,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
141,8.1,8.7,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
142,6.8,6.5,PRSE4,Prunus serotina,Black Cherry,Healthy,Partial,0
143,25.3,27.8,ULAM,Ulmus americana,American Elm,Healthy,Partial,0
144,31.2,32.2,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
152,20.1,20.1,ACPL,Acer platanoides,Norway Maple,Extreme distress,Partial,2
153,40.8,43.4,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
154,16.8,17.7,TIAM,Tilia americana,American Basswood,Healthy,Partial,0
155,20.1,22,ULAM,Ulmus americana,American Elm,Healthy,Partial,0
156,15.5,16.3,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
159,25.9,28.1,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
160,10.6,11,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
161,43.3,44.2,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
162,7.1,8.7,TIAM,Tilia americana,American Basswood,Healthy,Partial,0
163,7.9,10.3,TIAM,Tilia americana,American Basswood,Healthy,Partial,0
164,54,54.9,ROPS,Robinia pseudoacacia,Black Locust,Healthy,Partial,0
165,15.8,15.2,ACPL,Acer platanoides,Norway Maple,Some distress,Partial,0
166,13.7,13.8,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
168,24.8,25.2,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
169,57.4,62.2,JUNI,Juglans nigra,Black Walnut,Healthy,Partial,0
170,30.7,17.7,TIAM,Tilia americana,American Basswood,Healthy,Partial,0
171,10.3,10.2,ULPA,Ulmus pumila,Siberian Elm,Healthy,Shade,0
172,8,9.5,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
175,7.9,9.4,CEOC,Celtis occidentalis,Northern Hackberry,Healthy,Partial,0
177,53.5,54,ACPL,Acer platanoides,Norway Maple,Some distress,Partial,0
191,53.1,55.6,JUNI,Juglans nigra,Black Walnut,Some distress,Partial,0
197,43.5,44.7,MOAL,Morus alba,White Mulberry,Healthy,Partial,0
198,12.9,13.9,ACPL,Acer platanoides,Norway Maple,Some distress,Partial,0
201,14,14.3,ACPL,Acer platanoides,Norway Maple,Extreme distress,Partial,0
202,62.9,66.5,CEOC,Celtis occidentalis,Northern Hackberry,Some distress,Partial,0
205,42.1,36,TIAM,Tilia americana,American Basswood,Some distress,Partial,0
237,8.2,8.8,CEOC,Celtis occidentalis,Northern Hackberry,Some distress,Partial,0
238,28.6,29,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
239,32.5,33.5,ACPL,Acer platanoides,Norway Maple,Some distress,Partial,0
240,65.5,69.7,MOAL,Morus alba,White Mulberry,Some distress,Partial,0
241,45.6,46.2,ULAM,Ulmus americana,American Elm,Healthy,Partial,0
242,42.1,44,ULAM,Ulmus americana,American Elm,Healthy,Partial,0
243,38.6,40.3,ULAM,Ulmus americana,American Elm,Healthy,Partial,0
244,37.4,42.2,QUAL,Quercus alba,White Oak,Healthy,Sun,0
245,90.9,91.5,QUAL,Quercus alba,White Oak,Healthy,Partial,0
246,63.5,63.5,QUAL,Quercus alba,White Oak,Healthy,Partial,0
247,30.6,31.5,CAOV,Carya ovata,Shagbark Hickory,Some distress,Partial,0
248,51.2,53.6,TIPL,Tilia platyphyllos,Big Leaf Linden,Healthy,Partial,0
249,48.5,49.4,ULAM,Ulmus americana,American Elm,Healthy,Partial,0
250,52,53.6,ROPS,Robinia pseudoacacia,Black Locust,Healthy,Partial,1
251,34.6,37.2,JUNI,Juglans nigra,Black Walnut,Healthy,Partial,0
252,64.1,65.1,JUNI,Juglans nigra,Black Walnut,Healthy,Partial,0
253,36.8,37,AEHI,Aesculus hippocastanum,Horse Chestnut,Healthy,Partial,0
254,22.4,22.5,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,1
255,91.1,92,QURU,Quercus rubra,Northern Red Oak,Some distress,Partial,0
256,22.7,22,PRSE7,Prunus serotina,Black Cherry,Some distress,Partial,1
257,28.9,29.3,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
258,34.1,36.8,ROPS,Robinia pseudoacacia,Black Locust,Healthy,Partial,0
259,63.5,63.6,QUAL,Quercus alba,White Oak,Some distress,Partial,0
261,64.8,64.8,QUAL,Quercus alba,White Oak,Some distress,Partial,0
262,58.2,59.1,QUAL,Quercus alba,White Oak,Healthy,Partial,0
263,39.2,40.2,QUAL,Quercus alba,White Oak,Healthy,Partial,0
264,114.2,117.5,ROPS,Robinia pseudoacacia,Black Locust,Some distress,Partial,1
265,71.3,72,QURU,Quercus rubra,Northern Red Oak,Healthy,Partial,0
266,43.6,44.8,ROPS,Robinia pseudoacacia,Black Locust,Healthy,Partial,1
267,61,61.8,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
268,57.4,58.7,MOAL,Morus alba,White Mulberry,Healthy,Partial,1
269,23.2,23.2,ACPL,Acer platanoides,Norway Maple,Some distress,Partial,0
270,19.8,19.8,PINI,Pinus nigra,Austrian Pine,Healthy,Partial,2
271,69,69.7,QUAL,Quercus alba,White Oak,Some distress,Partial,0
272,32.6,32.9,PIST,Pinus strobus,Eastern White Pine,Healthy,Partial,1
273,25.8,26.6,PIST,Pinus strobus,Eastern White Pine,Healthy,Partial,1
274,29.1,28.8,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
275,28.5,28.9,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
276,14.2,14.8,CAOV,Carya ovata,Shagbark Hickory,Some distress,Partial,0
277,14.8,14.8,ACPL,Acer platanoides,Norway Maple,Some distress,Partial,0
278,66.4,67.1,QUAL,Quercus alba,White Oak,Healthy,Partial,0
279,22,24.5,PIST,Pinus strobus,Eastern White Pine,Some distress,Partial,1
281,21.7,21.2,PINI,Pinus nigra,Austrian Pine,Healthy,Partial,2
282,70.1,70.5,QUAL,Quercus alba,White Oak,Healthy,Partial,0
283,44.1,44.4,CAOV,Carya ovata,Shagbark Hickory,Healthy,Partial,0
284,55.9,56.1,QUAL,Quercus alba,White Oak,Healthy,Partial,0
285,56.8,57,QUAL,Quercus alba,White Oak,Healthy,Partial,0
286,20.5,21.1,QURU,Quercus rubra,Northern Red Oak,Healthy,Partial,0
287,19.4,20.5,PIST,Pinus strobus,Eastern White Pine,Healthy,Partial,0
288,34,34.2,CAOV,Carya ovata,Shagbark Hickory,Extreme distress,Partial,0
290,25.1,23.7,ACPL,Acer platanoides,Norway Maple,Some distress,Partial,2
291,66.6,68.3,QURU,Quercus rubra,Northern Red Oak,Healthy,Partial,2
292,24.3,24.6,ROPS,Robinia pseudoacacia,Black Locust,Healthy,Partial,1
293,21.9,22,PINI,Pinus nigra,Austrian Pine,Healthy,Partial,2
294,62.7,63.2,QUAL,Quercus alba,White Oak,Healthy,Partial,1
295,30.5,33.5,ROPS,Robinia pseudoacacia,Black Locust,Healthy,Partial,0
299,37,38,QURU,Quercus rubra,Northern Red Oak,Some distress,Partial,1
300,14.2,16.3,ROPS,Robinia pseudoacacia,Black Locust,Healthy,Partial,1
301,27.6,30.1,ROPS,Robinia pseudoacacia,Black Locust,Healthy,Partial,1
302,52.5,52.5,QUAL,Quercus alba,White Oak,Healthy,Partial,0
303,61.2,61.5,QURU,Quercus rubra,Northern Red Oak,Extreme distress,Partial,1
304,50.8,51.5,QUAL,Quercus alba,White Oak,Healthy,Partial,0
305,38.5,38.5,QUAL,Quercus alba,White Oak,Healthy,Partial,1
306,63.4,63.9,CAOV,Carya ovata,Shagbark Hickory,Healthy,Partial,1
307,145.7,151.9,ROPS,Robinia pseudoacacia,Black Locust,Healthy,Sun,1
308,65.4,66.3,QUAL,Quercus alba,White Oak,Healthy,Sun,1
318,43.3,46.3,BENI,Betula nigra,River birch,Healthy,Partial,0
319,30.4,37.4,BENI,Betula nigra,River birch,Healthy,Partial,0
320,30.6,21,BENI,Betula nigra,River birch,Healthy,Partial,0
322,38.3,41,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
323,23.7,26.1,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
324,11.3,11.3,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
325,20.4,22.1,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
327,50.6,51.6,PIST,Pinus strobus,Eastern White Pine,Healthy,Partial,1
328,12.9,15,ACPL,Acer platanoides,Norway Maple,Some distress,Partial,0
329,70.5,61.3,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
330,30,31,PIST,Pinus strobus,Eastern White Pine,Healthy,Partial,1
331,24.5,26.1,MOAL,Morus alba,White Mulberry,Healthy,Partial,0
332,37.9,38.3,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
334,26.9,27.8,PIST,Pinus strobus,Eastern White Pine,Healthy,Partial,1
342,45.3,8.1,MOAL,Morus alba,White Mulberry,Healthy,Partial,0
343,66.6,69.3,QUAL,Quercus alba,White Oak,Healthy,Partial,1
345,60,61.2,QUAL,Quercus alba,White Oak,Healthy,Partial,1
346,60.5,60.6,QUAL,Quercus alba,White Oak,Healthy,Partial,1
348,13,12.5,COFL,Cornus florida,Florida Dogwood,Healthy,Partial,0
349,70.9,70.3,QUAL,Quercus alba,White Oak,Healthy,Partial,2
350,25.6,27.1,JUNI,Juglans nigra,Black Walnut,Some distress,Partial,0
351,56.4,64.3,ULAM,Ulmus americana,American Elm,Healthy,Partial,0
352,28.6,29,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
353,49.2,49.9,PSME,Pseudotsuga menziesii,Douglas-fir,Healthy,Partial,0
354,18.7,19.1,PIAB,Picea abies,Norway Spruce,Healthy,Partial,0
355,43.2,43.8,PIAB,Picea abies,Norway Spruce,Healthy,Partial,0
356,60.1,61,TABA,Taxus baccata,English Yew,Healthy,Partial,0
357,54.6,55.9,PIAB,Picea abies,Norway Spruce,Healthy,Partial,0
360,50.6,51.7,PIAB,Picea abies,Norway Spruce,Healthy,Partial,0
375,41.4,41.3,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
376,25,25,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
378,83,85.1,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,1
379,54.8,57.3,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
380,44.5,44.7,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,1
381,63.6,65.3,ROPS,Robinia pseudoacacia,Black Locust,Healthy,Partial,0
382,23.5,24.8,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
383,50,50.5,PRSE9,Prunus serotina,Black Cherry,Some distress,Partial,0
384,39.6,40.5,PISY,Pinus sylvestris,Scotch Pine,Extreme distress,Partial,1
385,72.4,70.7,PIAB,Picea abies,Norway Spruce,Healthy,Partial,0
387,13.3,34.5,COKO,Cornus kousa,Kousa Dogwood,Healthy,Sun,0
388,93.6,92.8,QURU,Quercus rubra,Northern Red Oak,Healthy,Partial,0
389,60.8,61.2,PIAB,Picea abies,Norway Spruce,Healthy,Partial,0
390,42.7,43.3,PINI,Pinus nigra,Austrian Pine,Healthy,Sun,1
501,30.5,31,PSME,Pseudotsuga menziesii,Douglas-fir,Extreme distress,Partial,0
502,65,65.2,QUAL,Quercus alba,White Oak,Some distress,Partial,0
503,43.9,44,QUAL,Quercus alba,White Oak,Some distress,Partial,0
504,78.1,78.1,QURU,Quercus rubra,Red Oak,Healthy,Partial,0
505,36.5,37.9,QURU,Quercus rubra,Red Oak,Some distress,Partial,0
506,44.4,45,QURU,Quercus rubra,Red Oak,Some distress,Partial,0
507,35.3,36,QURU,Quercus rubra,Red Oak,Healthy,Partial,0
508,67.7,67.7,QURU,Quercus rubra,Red Oak,Healthy,Partial,0
509,22.3,21.1,PRSE10,Prunus serotina,Black Cherry,Healthy,Partial,0
510,33.6,33.9,QURU,Quercus rubra,Red Oak,Healthy,Partial,0
511,56.5,57.1,QUAL,Quercus alba,White Oak,Healthy,Partial,0
512,41.8,43.1,QURU,Quercus rubra,Red Oak,Healthy,Partial,0
513,46.5,47.5,QURU,Quercus rubra,Red Oak,Healthy,Partial,0
514,36.9,37.1,QURU,Quercus rubra,Red Oak,Healthy,Partial,0
515,28.3,28.6,QURU,Quercus rubra,Red Oak,Healthy,Partial,0
516,23.6,24.2,CAOV,Carya ovata,Shagbark Hickory,Healthy,Partial,0
517,27.8,27.3,CAOV,Carya ovata,Shagbark Hickory,Healthy,Partial,0
518,29.3,29.4,CAOV,Carya ovata,Shagbark Hickory,Healthy,Partial,0
519,29.2,29.8,CAOV,Carya ovata,Shagbark Hickory,Healthy,Partial,0
520,28,27.9,PRSE11,Prunus serotina,Black Cherry,Healthy,Partial,1
521,20.5,20.4,CAOV,Carya ovata,Shagbark Hickory,Healthy,Partial,0
522,21.1,20.8,CAOV,Carya ovata,Shagbark Hickory,Healthy,Partial,0
523,25.7,26,QUAL,Quercus alba,White Oak,Healthy,Partial,0
525,53.5,52.9,FAGR,Fagus grandifolia,American Beech,Healthy,Partial,0
526,11.4,12.9,PIST,Pinus strobus,Eastern White Pine,Healthy,Shade,0
527,9.8,10.9,PIST,Pinus strobus,Eastern White Pine,Healthy,Shade,0
528,6.2,6,PIST,Pinus strobus,Eastern White Pine,Some distress,Shade,0
529,9.4,10.9,PIST,Pinus strobus,Eastern White Pine,Healthy,Shade,0
530,13.2,14.8,PIST,Pinus strobus,Eastern White Pine,Healthy,Shade,0
531,7.5,9.1,PIST,Pinus strobus,Eastern White Pine,Healthy,Shade,0
533,6.7,8.5,PIST,Pinus strobus,Eastern White Pine,Healthy,Shade,0
534,3.9,4.3,PIST,Pinus strobus,Eastern White Pine,Healthy,Shade,0
535,6.6,8.5,PIST,Pinus strobus,Eastern White Pine,Healthy,Shade,0
536,6.8,8.2,PIST,Pinus strobus,Eastern White Pine,Some distress,Shade,0
537,16.6,17.4,CAOV,Carya ovata,Shagbark Hickory,Healthy,Partial,0
538,37.9,38.5,TIAM,Tilia americana,American Basswood,Healthy,Partial,0
539,59.6,59.9,QURU,Quercus rubra,Red Oak,Healthy,Partial,0
542,37.2,37,ACPL,Acer platanoides,Norway Maple,Extreme distress,Partial,0
543,23.6,23.3,ACPL,Acer platanoides,Norway Maple,Extreme distress,Partial,1
545,14.7,15.8,ACSA2,Acer saccharum,Sugar Maple,Extreme distress,Partial,0
546,34.3,19.1,ACSA3,Acer saccharum,Sugar Maple,Healthy,Partial,0
547,49.5,49.8,TIAM,Tilia americana,American Basswood,Healthy,Partial,0
548,16.7,17,CAOV,Carya ovata,Shagbark Hickory,Healthy,Partial,0
549,70.6,71,QURU,Quercus rubra,Red Oak,Some distress,Partial,0
551,43.5,44,TIAM,Tilia americana,American Basswood,Healthy,Partial,0
552,27.1,26.7,QURU,Quercus rubra,Red Oak,Healthy,Partial,0
553,44.1,43.4,TIAM,Tilia americana,American Basswood,Healthy,Partial,0
554,85.7,85.4,QURU,Quercus rubra,Red Oak,Healthy,Partial,0
555,23.5,23.7,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
556,67.5,65.5,QUAL,Quercus alba,White Oak,Some distress,Partial,1
557,22.4,23,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
558,36.3,36.3,JUNI,Juglans nigra,Black Walnut,Healthy,Partial,0
559,65.3,65.5,QUAL,Quercus alba,White Oak,Healthy,Partial,0
560,57,57.5,QUAL,Quercus alba,White Oak,Some distress,Partial,1
561,38.7,38.8,QURU,Quercus rubra,Red Oak,Healthy,Partial,0
562,26.2,25.7,QUAL,Quercus alba,White Oak,Extreme distress,Partial,0
564,29.5,29,TIAM,Tilia americana,American Basswood,Some distress,Partial,2
566,74.7,76,QUAL,Quercus alba,White Oak,Healthy,Partial,1
567,34.5,35.4,PSME,Pseudotsuga menziesii,Douglas-fir,Some distress,Partial,0
568,77.1,77.7,QUAL,Quercus alba,White Oak,Healthy,Partial,0
570,61,61,QUAL,Quercus alba,White Oak,Extreme distress,Partial,0
571,76.1,75.6,QUAL,Quercus alba,White Oak,Healthy,Partial,0
572,51.4,51.8,QUAL,Quercus alba,White Oak,Some distress,Partial,0
573,89.3,89,QUAL,Quercus alba,White Oak,Healthy,Partial,0
574,68.1,67.9,QUAL,Quercus alba,White Oak,Healthy,Partial,0
575,59.5,59,QUAL,Quercus alba,White Oak,Healthy,Partial,0
576,17.2,17.2,CAOV,Carya ovata,Shagbark Hickory,Some distress,Partial,0
577,60.4,60.3,QUAL,Quercus alba,White Oak,Healthy,Partial,0
578,47.9,48.1,QUAL,Quercus alba,White Oak,Healthy,Partial,0
579,68.9,68.9,QUAL,Quercus alba,White Oak,Healthy,Partial,0
580,29.7,29.8,PRSE12,Prunus serotina,Black Cherry,Healthy,Partial,1
581,51.3,51.3,QURU,Quercus rubra,Red Oak,Some distress,Partial,0
582,33.5,33.7,PSME,Pseudotsuga menziesii,Douglas-fir,Healthy,Partial,0
583,54.5,54.5,QUAL,Quercus alba,White Oak,Healthy,Partial,0
587,37.6,37.7,QURU,Quercus rubra,Red Oak,Some distress,Partial,0
588,52.7,52.5,QURU,Quercus rubra,Red Oak,Healthy,Partial,1
589,43.9,69.3,QURU,Quercus rubra,Red Oak,Some distress,Partial,0
590,16.4,16.5,QUAL,Quercus alba,White Oak,Healthy,Partial,2
592,13.9,14.3,TIAM,Tilia americana,American Basswood,Healthy,Partial,0
593,35.8,34.8,ULAM,Ulmus americana,American Elm,Extreme distress,Partial,1
594,20.7,20.5,QURU,Quercus rubra,Red Oak,Healthy,Partial,0
595,29.9,49.7,QUAL,Quercus alba,White Oak,Healthy,Partial,0
596,66.2,65.6,QUAL,Quercus alba,White Oak,Some distress,Partial,1
597,19.1,19.2,CAOV,Carya ovata,Shagbark Hickory,Healthy,Partial,0
598,43.2,43.4,QUAL,Quercus alba,White Oak,Healthy,Partial,0
599,24.2,24.2,CAOV,Carya ovata,Shagbark Hickory,Healthy,Partial,0
600,60.6,61.2,QUAL,Quercus alba,White Oak,Healthy,Partial,0
602,56.5,57.6,QUAL,Quercus alba,White Oak,Some distress,Partial,0
603,21.2,21.2,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
604,19.1,18.6,CAOV,Carya ovata,Shagbark Hickory,Healthy,Partial,0
605,34.5,34.8,ACPL,Acer platanoides,Norway Maple,Some distress,Partial,0
607,72.9,73.8,QUAL,Quercus alba,White Oak,Healthy,Partial,0
608,58.5,59.9,QUAL,Quercus alba,White Oak,Healthy,Partial,1
609,40.5,41.2,QUAL,Quercus alba,White Oak,Healthy,Partial,1
610,36.4,39.6,ACPL,Acer platanoides,Norway Maple,Healthy,Partial,0
611,6.2,6.5,QUAL,Quercus alba,White Oak,Healthy,Partial,0
612,28.5,29.7,PINI,Pinus nigra,Austrian Pine,Healthy,Partial,2
613,21.1,21.3,PINI,Pinus nigra,Austrian Pine,Healthy,Partial,2
614,76.8,75.6,QUAL,Quercus alba,White Oak,Extreme distress,Partial,0
615,12,26.4,MA3,Malus spp.,Crab Apple,Healthy,Partial,0
